address_found,suburb,postcode,END_LATITUDE,END_LONGITUDE
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495653,-0.206171
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495707,-0.206382
"Marylee Way, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6UA, United Kingdom",Lambeth,SE11 6UA,51.492281,-0.113755
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495742,-0.206292
"Buckingham Palace Road, Belgravia, London, Greater London, England, SW1W 9TB, United Kingdom",Belgravia,SW1W 9TB,51.491282,-0.149273
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495741,-0.206136
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495644,-0.206179
"Design Museum, 224-238, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 6AG, United Kingdom",Kensington,W8 6AG,51.498839,-0.199547
"419a, Harrow Road, Kensal Town, Queen's Park, London, Greater London, England, W10 4NE, United Kingdom",Kensal Town,W10 4NE,51.525675,-0.20458200000000001
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495716,-0.206114
"Savills Westminster, Seaforth Place, Westminster, Victoria, London, Greater London, England, SW1E 6AE, United Kingdom",Victoria,SW1E 6AE,51.498282,-0.136452
"5 Merchant Square, 5, Merchant Square, Paddington, London, Greater London, England, W2 1AY, United Kingdom",Paddington,W2 1AY,51.519142,-0.172886
"Gliddon Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 9BH, United Kingdom",West Kensington,W14 9BH,51.491104,-0.213337
"Derry and Toms Building, Derry Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5HF, United Kingdom",Kensington,W8 5HF,51.501451,-0.191623
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495648,-0.206119
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495579,-0.206205
"Belushi's, 15, Shepherds Bush Green, Shepherd's Bush, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 8PH, United Kingdom",Shepherd's Bush,W12 8PH,51.504173,-0.217969
"VauxWall East Climbing Centre, 1, Lollard Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6BD, United Kingdom",Lambeth,SE11 6BD,51.492296,-0.113785
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495662,-0.206153
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495542,-0.206141
"7, Waterloo Place, St. James's, Mayfair, London, Greater London, England, SW1Y 4BN, United Kingdom",Mayfair,SW1Y 4BN,51.507663,-0.132835
"Burlington House, Old Bond Street, St. James's, Mayfair, London, Greater London, England, W1S 4PP, United Kingdom",Mayfair,W1S 4PP,51.508361,-0.13926
"Ely's Yard, The Old Truman Brewery, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 6QR, United Kingdom",Whitechapel,E1 6QR,51.520664,-0.073325
"1, Bessborough Gardens, Millbank, London, Greater London, England, SW1V 2JQ, United Kingdom",Millbank,SW1V 2JQ,51.488853,-0.12952
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495717,-0.206138
"22, Coventry Street, Soho, Bloomsbury, City of Westminster, Greater London, England, W1D 7AE, United Kingdom",Bloomsbury,W1D 7AE,51.5102,-0.132819
"Chippenham Gardens, Queen's Park, London Borough of Brent, London, Greater London, England, NW6 5PP, United Kingdom",Queen's Park,NW6 5PP,51.52843,-0.197177
"86, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 4SG, United Kingdom",Kensington,W8 4SG,51.501653,-0.191516
"Uniqlo, 54-58, Kensington High Street, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 4PE, United Kingdom",South Kensington,W8 4PE,51.502233,-0.190304
"M.E.I.C House, 344, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NS, United Kingdom",Kensington,W14 8NS,51.497166,-0.204734
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495774,-0.206272
"Hazel House, 69, Warwick Road, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9TJ, United Kingdom",Earl's Court,SW5 9TJ,51.491142,-0.197533
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495602,-0.206105
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.49562,-0.206193
"Belushi's, 15, Shepherds Bush Green, Shepherd's Bush, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 8PH, United Kingdom",Shepherd's Bush,W12 8PH,51.504197,-0.217873
"Clarks, 32, Berwick Street, Soho, City of Westminster, Greater London, England, W1F 8RQ, United Kingdom",NA,W1F 8RQ,51.514367,-0.135546
"Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8BW, United Kingdom",Kensington,W14 8BW,51.495812,-0.205133
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.49552,-0.206236
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495448,-0.206143
"Atlantic House, 351, Oxford Street, East Marylebone, Mayfair, London, Greater London, England, W1C 2JG, United Kingdom",Mayfair,W1C 2JG,51.514498,-0.147816
"Bessborough Gardens, Millbank, London, Greater London, England, SW1V 2JQ, United Kingdom",Millbank,SW1V 2JQ,51.488926,-0.130102
"One Lyric Square, 1, Lyric Square, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0ED, United Kingdom",Hammersmith,W6 0ED,51.492892,-0.226052
"Statue of Hans Sloane, King's Road, Hans Town, Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 4UG, United Kingdom",Chelsea,SW3 4UG,51.491314,-0.15985
"Derry and Toms Building, Derry Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5HF, United Kingdom",Kensington,W8 5HF,51.501348,-0.191343
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495546,-0.206209
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495951,-0.20627
"10-12, Exhibition Road, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 2HF, United Kingdom",Brompton,SW7 2HF,51.494995,-0.173439
"Holland Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HX, United Kingdom",Kensington,W14 8HX,51.499713,-0.210035
"The Marylebone Gallery, 25, Devonshire Street, Marylebone, Camden Town, City of Westminster, Greater London, England, W1U 4QH, United Kingdom",Marylebone,W1U 4QH,51.521164,-0.151328
"4, Hornton Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 7RW, United Kingdom",Kensington,W8 7RW,51.50124,-0.193489
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495678,-0.206269
"Simit Sarayi, 114, Baker Street, Marylebone, London, Greater London, England, W1U 6TU, United Kingdom",Marylebone,W1U 6TU,51.521074,-0.157016
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495684,-0.206344
"ROVI, 59, Wells Street, East Marylebone, Fitzrovia, Camden Town, London, Greater London, England, W1A 3AE, United Kingdom",Fitzrovia,W1A 3AE,51.517646,-0.138656
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495626,-0.206344
"Strangways Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NE, United Kingdom",Kensington,W14 8NE,51.498278,-0.20554
"Buckle Street, East Smithfield, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 8DB, United Kingdom",Whitechapel,E1 8DB,51.514617,-0.069637
"Campden Hill Towers, 112, Notting Hill Gate, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11 3QW, United Kingdom",Notting Hill,W11 3QW,51.508886,-0.197858
"15, Hillgate Place, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 7ST, United Kingdom",Notting Hill,W8 7ST,51.508013,-0.196711
"Discover London, Great Windmill Street, Trocadero Centre, Bloomsbury, City of Westminster, Greater London, England, W1J 0DA, United Kingdom",Bloomsbury,W1J 0DA,51.510221,-0.133775
"Belushi's, 15, Shepherds Bush Green, Shepherd's Bush, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 8PH, United Kingdom",Shepherd's Bush,W12 8PH,51.504152,-0.21796
"127, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5SF, United Kingdom",Kensington,W8 5SF,51.500843,-0.193312
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495827,-0.206382
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495591,-0.20624
"Kensington Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5AU, United Kingdom",South Kensington,W8 5AU,51.50191,-0.185091
"Bethnal Green Road, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 9QX, United Kingdom",Bethnal Green,E2 9QX,51.52747,-0.056362
"Regents Place, Fitzrovia, London Borough of Camden, London, Greater London, England, NW1 3BT, United Kingdom",Fitzrovia,NW1 3BT,51.52452,-0.141754
"Thai Pot, 1, Bedfordbury, Covent Garden, Bloomsbury, London, Greater London, England, WC2N 4BP, United Kingdom",Bloomsbury,WC2N 4BP,51.509861,-0.125547
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495739,-0.206159
"Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8BW, United Kingdom",Kensington,W14 8BW,51.49569,-0.205363
"182-188, Kensington Church Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 4DP, United Kingdom",Kensington,W8 4DP,51.508467,-0.19507
"91-100, Lollard Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6PX, United Kingdom",Lambeth,SE11 6PX,51.492323,-0.113584
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495584,-0.206307
"Eaton Square Upper School, 106, Piccadilly, St. James's, Mayfair, London, Greater London, England, W1J 7NN, United Kingdom",Mayfair,W1J 7NN,51.50485,-0.146548
"Exhibition Road Museums 2, Exhibition Road, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 9AX, United Kingdom",Brompton,SW7 9AX,51.495969,-0.17368
"Perkins, 171, Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4QT, United Kingdom",Belsize Park,NW3 4QT,51.550139,-0.164419
"Hazel House, 69, Warwick Road, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9TJ, United Kingdom",Earl's Court,SW5 9TJ,51.49102,-0.197343
"Howards Way, Paddington, London, Greater London, England, W2 1JZ, United Kingdom",Paddington,W2 1JZ,51.519169,-0.172761
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495556,-0.20625
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495786,-0.206047
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495743,-0.205936
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495645,-0.206416
"Trinity House, 377, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496477,-0.206043
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495651,-0.206163
"Santander, 142-144, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 7BQ, United Kingdom",Kensington,W8 7BQ,51.500514,-0.194578
"59, Warwick Road, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9UB, United Kingdom",Earl's Court,SW5 9UB,51.490987,-0.19709
"Bromley Arms, 84, Cleveland Street, Fitzrovia, London Borough of Camden, London, Greater London, England, W1T 6NF, United Kingdom",Fitzrovia,W1T 6NF,51.522119000000004,-0.140676
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.49573,-0.206227
"Nevern Mansions, 42, Warwick Road, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9TJ, United Kingdom",Earl's Court,SW5 9TJ,51.491111,-0.197334
"20, Triton Street, Fitzrovia, London Borough of Camden, London, Greater London, England, NW1 3DE, United Kingdom",Fitzrovia,NW1 3DE,51.524667,-0.143133
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495881,-0.206416
"524, Harrow Road, Kensal Town, Queen's Park, London, Greater London, England, W9 3QF, United Kingdom",Kensal Town,W9 3QF,51.525195,-0.203528
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495882,-0.206164
"1, Bessborough Gardens, Millbank, London, Greater London, England, SW1V 2JQ, United Kingdom",Millbank,SW1V 2JQ,51.488828,-0.129472
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495744,-0.206181
"Bridgeman House, 1, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.496071,-0.20574
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495651,-0.206212
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495591,-0.206036
"167, New Bond Street, St. James's, Mayfair, London, Greater London, England, W1S 3SW, United Kingdom",Mayfair,W1S 3SW,51.510095,-0.14243
"Nevern Mansions, 44, Warwick Road, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9TJ, United Kingdom",Earl's Court,SW5 9TJ,51.491443,-0.198038
"Lyceum Tavern, 354, Strand, St Clement Danes, Holborn, London, Greater London, England, WC2R 0HS, United Kingdom",Holborn,WC2R 0HS,51.511169,-0.119699
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495887,-0.206581
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495473,-0.206311
"No 1 Coffee London, Ravenscourt Place, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UN, United Kingdom",Hammersmith,W6 0UN,51.493985,-0.23651
"Montreal Place, St Clement Danes, Holborn, City of Westminster, Greater London, England, WC2B 4RD, United Kingdom",Holborn,WC2B 4RD,51.512022,-0.117858
"Lloyds Bank, 112-114, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 4SN, United Kingdom",Kensington,W8 4SN,51.500995,-0.193312
"Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4PT, United Kingdom",Belsize Park,NW3 4PT,51.552072,-0.167166
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495495,-0.206333
"110, Philbeach Gardens, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9EZ, United Kingdom",Earl's Court,SW5 9EZ,51.490604,-0.197348
"Charles House, 385, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496405,-0.206498
"H&M, 103, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 4SH, United Kingdom",Kensington,W8 4SH,51.501419,-0.192054
"1, Russell Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HU, United Kingdom",Kensington,W14 8HU,51.496334,-0.206934
"3-5, Charing Cross Road, Seven Dials, Bloomsbury, City of Westminster, Greater London, England, WC2H 0HA, United Kingdom",Bloomsbury,WC2H 0HA,51.50969,-0.128462
"Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4RB, United Kingdom",Belsize Park,NW3 4RB,51.551839,-0.166983
"Knightsbridge, London, Greater London, England, SW1X 7LJ, United Kingdom",Knightsbridge,SW1X 7LJ,51.501718,-0.161045
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495795,-0.206031
"Fairfax Place, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HW, United Kingdom",Kensington,W14 8HW,51.497691,-0.208552
"Malet Street, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1E 7JN, United Kingdom",Bloomsbury,WC1E 7JN,51.522634,-0.131534
"Belsize Park, Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2AJ, United Kingdom",Belsize Park,NW3 2AJ,51.550244,-0.164282
"The White House, 61, Randolph Avenue, Maida Vale, London, Greater London, England, W9 1BG, United Kingdom",Maida Vale,W9 1BG,51.526545,-0.181906
"1-4, Hollybush Place, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 9QX, United Kingdom",Bethnal Green,E2 9QX,51.527775,-0.056506
"Hilton London Olympia, 380, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.49645,-0.206675
"76, Randolph Avenue, Maida Vale, London, Greater London, England, W9 1BG, United Kingdom",Maida Vale,W9 1BG,51.526499,-0.181824
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495573,-0.206339
"Vauxhall Bridge, Millbank, London, Greater London, England, SW1P 4RP, United Kingdom",Millbank,SW1P 4RP,51.48869,-0.129198
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NS, United Kingdom",Kensington,W14 8NS,51.496965,-0.204668
"Royal College Street, Kentish Town, London Borough of Camden, London, Greater London, England, NW1 9EA, United Kingdom",Kentish Town,NW1 9EA,51.541963,-0.138254
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495444,-0.206633
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495601,-0.206275
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495761,-0.206358
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495754,-0.206317
"Fancy That of London, Haymarket, Soho, Bloomsbury, City of Westminster, Greater London, England, W1D 7AB, United Kingdom",Bloomsbury,W1D 7AB,51.509905,-0.132822
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495506,-0.206533
"Ravenscourt Road, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UH, United Kingdom",Hammersmith,W6 0UH,51.494101,-0.236506
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495614,-0.206019
"Garrett Mensions, Edgware Road, Paddington, London, Greater London, England, W2 1HP, United Kingdom",Paddington,W2 1HP,51.52147,-0.172338
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555458,-0.165961
"Red Roofs, 9, West Side Common, Wimbledon Village, London Borough of Merton, London, Greater London, England, SW19 4UF, United Kingdom",NA,SW19 4UF,51.424194,-0.227835
"Wolfe House, 389, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.496182,-0.20702
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495817,-0.206307
"Banham Security, 235, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 6SN, United Kingdom",Kensington,W8 6SN,51.499357,-0.197845
"Belsize Park, Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2AJ, United Kingdom",Belsize Park,NW3 2AJ,51.550024,-0.164405
"35-36, South Audley Street, Mayfair, London, Greater London, England, W1K 2PA, United Kingdom",Mayfair,W1K 2PA,51.50973,-0.151755
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495689,-0.206144
"91-100, Lollard Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6PX, United Kingdom",Lambeth,SE11 6PX,51.492543,-0.114215
"Charles House, 385, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496262,-0.206812
"Shieldex Limited, 354-356, Edgware Road, Paddington, London, Greater London, England, W2 1EB, United Kingdom",Paddington,W2 1EB,51.521289,-0.171679
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496155,-0.206927
