address_found,suburb,postcode,START_LATITUDE,START_LONGITUDE
"Covent Garden Community Centre, 42, Earlham Street, Seven Dials, Bloomsbury, London Borough of Camden, London, Greater London, England, WC2H 9LA, United Kingdom",Bloomsbury,WC2H 9LA,51.513889,-0.126053
"72-74, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5SE, United Kingdom",Kensington,W8 5SE,51.5021,-0.190746
"Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4QT, United Kingdom",Belsize Park,NW3 4QT,51.550015,-0.16429
"Royal Free Hospital, Pond Street, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QG, United Kingdom",Belsize Park,NW3 2QG,51.553858,-0.1662
"Bessborough Gardens, Millbank, London, Greater London, England, SW1V 2JQ, United Kingdom",Millbank,SW1V 2JQ,51.488665,-0.129674
"Boyce Street, South Bank, Waterloo, London Borough of Lambeth, London, Greater London, England, SE1 8SQ, United Kingdom",Waterloo,SE1 8SQ,51.504041,-0.114062
"Starbucks, 5-7, South End Road, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2PT, United Kingdom",Belsize Park,NW3 2PT,51.554249,-0.165581
"One Lyric Square, 1, Lyric Square, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0ED, United Kingdom",Hammersmith,W6 0ED,51.492915000000004,-0.226067
"Royal Free Hospital, Pond Street, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QG, United Kingdom",Belsize Park,NW3 2QG,51.553663,-0.167205
"Wood Lane, Shepherd's Bush, London Borough of Hammersmith and Fulham, London, Greater London, England, W12 7BF, United Kingdom",Shepherd's Bush,W12 7BF,51.506297000000004,-0.224464
"Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XJ, United Kingdom",West Kensington,W14 8XJ,51.496007,-0.20781
"Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XJ, United Kingdom",West Kensington,W14 8XJ,51.495997,-0.208747
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495746,-0.206246
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495835,-0.206335
"Huntley Street, Fitzrovia, London Borough of Camden, London, Greater London, England, WC1E 7HE, United Kingdom",Fitzrovia,WC1E 7HE,51.522329,-0.134232
"Royal Free Hospital, Pond Street, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QG, United Kingdom",Belsize Park,NW3 2QG,51.553937,-0.165871
"Fairfax Place, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HW, United Kingdom",Kensington,W14 8HW,51.497713,-0.208485
"VauxWall East Climbing Centre, 1, Lollard Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6BD, United Kingdom",Lambeth,SE11 6BD,51.49225,-0.113654
"11a, Charing Cross Road, Seven Dials, Bloomsbury, London, Greater London, England, WC2H 0EP, United Kingdom",Bloomsbury,WC2H 0EP,51.509912,-0.128341
"VauxWall East Climbing Centre, 1, Lollard Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6BD, United Kingdom",Lambeth,SE11 6BD,51.492194,-0.113557
"The Hand and Flower, 1, Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XJ, United Kingdom",West Kensington,W14 8XJ,51.496146,-0.208162
"Wolfe House, 389, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.496171,-0.207251
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.55536,-0.166064
"58, Holland Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8BA, United Kingdom",Kensington,W14 8BA,51.498442,-0.208333
"Nevern Square Garden, Nevern Square, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9PF, United Kingdom",Earl's Court,SW5 9PF,51.491822,-0.196931
"9, Addison Bridge Place, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XW, United Kingdom",West Kensington,W14 8XW,51.495445,-0.20695
"284, Elgin Avenue, Maida Vale, London, Greater London, England, W9 1NJ, United Kingdom",Maida Vale,W9 1NJ,51.529769,-0.186184
"VauxWall East Climbing Centre, 1, Lollard Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6BD, United Kingdom",Lambeth,SE11 6BD,51.492314,-0.113729
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555316,-0.166012
"Lyndhurst Road, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 1PH, United Kingdom",Belsize Park,NW3 1PH,51.553143,-0.169456
"Welby, 37, Belsize Avenue, Swiss Cottage, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4AE, United Kingdom",Belsize Park,NW3 4AE,51.549965,-0.168736
"Coe House, 4, Warwick Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QB, United Kingdom",Kensington,W14 8QB,51.494963,-0.203238
"69, Wightman Road, Harringay Ladder, Harringay, London Borough of Haringey, London, Greater London, England, N4 1DL, United Kingdom",Harringay,N4 1DL,51.579636,-0.105027
"Russell Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HU, United Kingdom",Kensington,W14 8HU,51.496398,-0.207131
"39,41,43,45,47,49, Lyndhurst Gardens, Swiss Cottage, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 5NR, United Kingdom",Belsize Park,NW3 5NR,51.551259,-0.171138
"Durrels House, Warwick Gardens, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8PP, United Kingdom",Kensington,W14 8PP,51.495863,-0.20326
"Peabody Avenue, Pimlico, London, Greater London, England, SW1V 4AY, United Kingdom",Pimlico,SW1V 4AY,51.486905,-0.146052
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555339,-0.165989
"Starbucks, 5-7, South End Road, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2PT, United Kingdom",Belsize Park,NW3 2PT,51.554246,-0.165702
"Monthope Road, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 5LS, United Kingdom",Whitechapel,E1 5LS,51.518055,-0.069548
"Kensington Road, South Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5AU, United Kingdom",South Kensington,W8 5AU,51.502035,-0.185476
"15, Ravenscourt Avenue, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0SL, United Kingdom",Hammersmith,W6 0SL,51.494267,-0.237412
"18, Holland Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8BA, United Kingdom",Kensington,W14 8BA,51.497567,-0.207032
"Ibberton House, 70, Russell Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HU, United Kingdom",Kensington,W14 8HU,51.498066,-0.209486
"Holland Road, Notting Hill, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11 4XB, United Kingdom",Notting Hill,W11 4XB,51.504258,-0.215965
"76, Randolph Avenue, Maida Vale, London, Greater London, England, W9 1BG, United Kingdom",Maida Vale,W9 1BG,51.526515,-0.181834
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495546,-0.206304
"Addison Crescent, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HP, United Kingdom",Kensington,W14 8HP,51.499785,-0.209843
"Waterstones, 82, Gower Street, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1E 6EG, United Kingdom",Bloomsbury,WC1E 6EG,51.522509,-0.131978
"Monarch House, 239, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 6SN, United Kingdom",Kensington,W8 6SN,51.499026,-0.198288
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555257,-0.166225
"VauxWall East Climbing Centre, 1, Lollard Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6BD, United Kingdom",Lambeth,SE11 6BD,51.492201,-0.11358
"RavensWall Climbing Centre, Ravenscourt Road, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UQ, United Kingdom",Hammersmith,W6 0UQ,51.494252,-0.236339
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555295,-0.166222
"48, Connaught Street, Paddington, London, Greater London, England, W2 2AA, United Kingdom",Paddington,W2 2AA,51.514245,-0.167612
"98, Ladbroke Grove, Lancaster West Estate, North Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W11 1PY, United Kingdom",North Kensington,W11 1PY,51.516269,-0.209125
"Chiringuito, Cambridge Heath Road, Globe Town, Bethnal Green, London Borough of Tower Hamlets, London, Greater London, England, E2 9PA, United Kingdom",Bethnal Green,E2 9PA,51.527673,-0.055318
"Giacobazzi's, 150, Fleet Road, Maitland Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QX, United Kingdom",Belsize Park,NW3 2QX,51.55379,-0.163497
"Royal Mail, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NW, United Kingdom",Kensington,W14 8NW,51.496845,-0.205125
"Hilton London Olympia, 380, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.496579,-0.206074
"13, Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XJ, United Kingdom",West Kensington,W14 8XJ,51.49594,-0.20872
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495461,-0.206085
"Ibberton House, 70, Russell Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HU, United Kingdom",Kensington,W14 8HU,51.498079,-0.209453
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555326,-0.165991
"Heron Place, 9, Thayer Street, Marylebone, London, Greater London, England, W1U 2QY, United Kingdom",Marylebone,W1U 2QY,51.51763,-0.151505
"Belsize Park, Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4QL, United Kingdom",Belsize Park,NW3 4QL,51.550157,-0.16431
"Warwick Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QZ, United Kingdom",Kensington,W14 8QZ,51.496666,-0.205018
"John Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6UD, United Kingdom",Lambeth,SE11 6UD,51.492127,-0.113443
"Kensington Mansions, 67-70, Warwick Road, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9TJ, United Kingdom",Earl's Court,SW5 9TJ,51.49061,-0.196488
"Clarendon Street, Pimlico, London, Greater London, England, SW1V 4RD, United Kingdom",Pimlico,SW1V 4RD,51.488667,-0.145395
"J H Kenyon, 279, Edwardes Square, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 6NN, United Kingdom",Kensington,W8 6NN,51.498345,-0.200166
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555352,-0.165968
"Caroline House, Bayswater Road, Bayswater, London, Greater London, England, W2 4RJ, United Kingdom",Bayswater,W2 4RJ,51.510244,-0.188118
"Box Noodle, 450, Mile End Road, Globe Town, Mile End, London Borough of Tower Hamlets, London, Greater London, England, E1 4GG, United Kingdom",Mile End,E1 4GG,51.523687,-0.038015
"Charles House, 385, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496299,-0.20664
"Russell Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HU, United Kingdom",Kensington,W14 8HU,51.496305,-0.207179
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.49567,-0.206009
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555337,-0.166019
"Hunters Lodge, 5, Belsize Lane, Belsize Village, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 5AD, United Kingdom",Belsize Park,NW3 5AD,51.552094,-0.16917
"No 1 Coffee London, Ravenscourt Place, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UN, United Kingdom",Hammersmith,W6 0UN,51.49399,-0.236478
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.55532,-0.166089
"142-146, Farringdon Road, Pentonville, Clerkenwell, London Borough of Islington, London, Greater London, England, EC1R 3AP, United Kingdom",Clerkenwell,EC1R 3AP,51.525888,-0.111963
"Hestia House, City Walk, Bermondsey Village, The Borough, London Borough of Southwark, London, Greater London, England, SE1 4PP, United Kingdom",The Borough,SE1 4PP,51.499136,-0.083255
"John Street, Ethelred Estate, Lambeth, London Borough of Lambeth, London, Greater London, England, SE11 6UD, United Kingdom",Lambeth,SE11 6UD,51.491756,-0.114075
"Devonshire Club, 50, St. James's Street, St. James's, Mayfair, London, Greater London, England, SW1A 1JT, United Kingdom",Mayfair,SW1A 1JT,51.507634,-0.140412
"Trinity House, 377, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.49623,-0.205517
"Rosslyn Heights, 2, Belsize Lane, Belsize Village, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 5AD, United Kingdom",Belsize Park,NW3 5AD,51.552312,-0.16862
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555371,-0.16608
"The Warwick Arms, 160, Warwick Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QB, United Kingdom",Kensington,W14 8QB,51.49536,-0.203429
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NS, United Kingdom",Kensington,W14 8NS,51.497009,-0.204867
"Kenton Court, 356, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NW, United Kingdom",Kensington,W14 8NW,51.49695,-0.205034
"Royal Free Hospital, Pond Street, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QG, United Kingdom",Belsize Park,NW3 2QG,51.55392,-0.165513
"2-8a, Rutland Gate, Knightsbridge, London, Greater London, England, SW7 1AY, United Kingdom",Knightsbridge,SW7 1AY,51.501686,-0.168406
"96, Masbro' Road, Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 0LR, United Kingdom",Brook Green,W14 0LR,51.50001,-0.215303
"Ravenscourt Road, Hammersmith, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 0UH, United Kingdom",Hammersmith,W6 0UH,51.494034,-0.236477
"Trinity House, 377, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496198,-0.205961
"6, Addison Bridge Place, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XW, United Kingdom",West Kensington,W14 8XW,51.49557,-0.207187
"Brook Green, London Borough of Hammersmith and Fulham, London, Greater London, England, W6 7EF, United Kingdom",Brook Green,W6 7EF,51.494372,-0.215908
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495691,-0.206218
"Benson House, 4, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495633,-0.206774
"Devonshire Club, 50, St. James's Street, St. James's, Mayfair, London, Greater London, England, SW1A 1JT, United Kingdom",Mayfair,SW1A 1JT,51.507597,-0.14044
"Jigsaw, 65, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5SE, United Kingdom",Kensington,W8 5SE,51.501843,-0.191189
"29, St George Street, East Marylebone, Mayfair, City of Westminster, Greater London, England, W1S 1FS, United Kingdom",Mayfair,W1S 1FS,51.512757,-0.142805
"Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 0QH, United Kingdom",West Kensington,W14 0QH,51.494765,-0.212315
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495803,-0.206275
"64, Millbank, London, Greater London, England, SW1P 4RP, United Kingdom",Millbank,SW1P 4RP,51.489018,-0.129033
"48, Hormead Road, Kensal Town, Maida Hill, London, Greater London, England, W9 3NG, United Kingdom",Kensal Town,W9 3NG,51.523865,-0.203785
"Andrew Martin, Chenies Street, Saint Giles, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1E 7EU, United Kingdom",Bloomsbury,WC1E 7EU,51.520432,-0.134052
"Lord Kensington House, 5, Radnor Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8AZ, United Kingdom",Kensington,W14 8AZ,51.495581,-0.205807
"Sumatra Road, West Hampstead, London Borough of Camden, London, Greater London, England, NW6 1PL, United Kingdom",West Hampstead,NW6 1PL,51.5489,-0.192704
"Wolfe House, 389, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.496216,-0.207
"Wolfe House, 389, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.496294,-0.207005
"27, St Mary Abbots Terrace, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NX, United Kingdom",Kensington,W14 8NX,51.497944,-0.202995
"Russell Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HU, United Kingdom",Kensington,W14 8HU,51.496559,-0.207436
"Millbank, London, Greater London, England, SW1P 4RP, United Kingdom",Millbank,SW1P 4RP,51.488772,-0.12915
"West Side Common, Wimbledon Village, London Borough of Merton, London, Greater London, England, SW19 4UG, United Kingdom",NA,SW19 4UG,51.424228,-0.22793
"Fairfax Place, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HW, United Kingdom",Kensington,W14 8HW,51.497679,-0.208514
"Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4QT, United Kingdom",Belsize Park,NW3 4QT,51.550279,-0.164387
"Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XJ, United Kingdom",West Kensington,W14 8XJ,51.496115,-0.208058
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495776,-0.206377
"South End Green, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2QE, United Kingdom",Belsize Park,NW3 2QE,51.554508,-0.165295
"Thornhaugh Street, Bloomsbury, London Borough of Camden, London, Greater London, England, WC1H 0XG, United Kingdom",Bloomsbury,WC1H 0XG,51.521987,-0.127945
"8, Dennington Park Road, West Hampstead, London Borough of Camden, London, Greater London, England, NW6 1BB, United Kingdom",West Hampstead,NW6 1BB,51.550048,-0.191564
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555345,-0.166041
"19, Warwick Gardens, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8PR, United Kingdom",Kensington,W14 8PR,51.496423,-0.203529
"Greenwood, 170, Victoria Street, Victoria, London, Greater London, England, SW1E 5LB, United Kingdom",Victoria,SW1E 5LB,51.496781,-0.14388599999999999
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495789,-0.206341
"Grenada House, Limehouse Causeway, Limehouse, London Borough of Tower Hamlets, London, Greater London, England, E14 8AD, United Kingdom",Limehouse,E14 8AD,51.509323,-0.027097
"1-2, Queen's Gate, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 5QL, United Kingdom",Brompton,SW7 5QL,51.501027,-0.180215
"Hammersmith Road, West Kensington, London Borough of Hammersmith and Fulham, London, Greater London, England, W14 8XJ, United Kingdom",West Kensington,W14 8XJ,51.496132,-0.207847
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.55534,-0.166015
"Eco, 2, Holland Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8BA, United Kingdom",Kensington,W14 8BA,51.496736,-0.206087
"127, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 5SF, United Kingdom",Kensington,W8 5SF,51.500822,-0.19323
"Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8NL, United Kingdom",Kensington,W14 8NL,51.495794,-0.206096
"The Roebuck, 15, Pond Street, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2PN, United Kingdom",Belsize Park,NW3 2PN,51.55374,-0.167464
"22, Russell Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8HU, United Kingdom",Kensington,W14 8HU,51.49796,-0.20907800000000001
"The Magdala, 2a, South Hill Park, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2SB, United Kingdom",Belsize Park,NW3 2SB,51.555328,-0.166079
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495623,-0.206226
"Trinity House, 377, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496261,-0.206107
"Blacks, 248, Tottenham Court Road, Saint Giles, Bloomsbury, London Borough of Camden, London, Greater London, England, W1T 7QZ, United Kingdom",Bloomsbury,W1T 7QZ,51.517958,-0.131591
"375 Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.495837,-0.206447
"Belsize Park, Haverstock Hill, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 4QL, United Kingdom",Belsize Park,NW3 4QL,51.550189,-0.164323
"Kahn Automobiles, 377, Kensington High Street, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8QA, United Kingdom",Kensington,W14 8QA,51.496609,-0.206018
"Nevern Mansions, 44, Warwick Road, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW5 9TJ, United Kingdom",Earl's Court,SW5 9TJ,51.491364,-0.197873
"Kensington Primary Academy, 205, Warwick Road, Kensington, Royal Borough of Kensington and Chelsea, London, Greater London, England, W14 8PU, United Kingdom",Kensington,W14 8PU,51.496372,-0.204858
"37-43, Eaton Place, Belgravia, London, Greater London, England, SW1X 8BY, United Kingdom",Belgravia,SW1X 8BY,51.4969,-0.153072
"Rowland Hill Street, Belsize Park, London Borough of Camden, London, Greater London, England, NW3 2AQ, United Kingdom",Belsize Park,NW3 2AQ,51.552486,-0.167389
"John Lewis, 300, Oxford Street, East Marylebone, Mayfair, London, Greater London, England, W1C 1DX, United Kingdom",Mayfair,W1C 1DX,51.515671,-0.144763
